City,Country,Date,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
mokhsogollokh,RU,1562695967,61.4,128.95,63.16,98,100,2.62
ushuaia,AR,1562695967,-54.81,-68.31,36.63,100,90,9.17
langsa,ID,1562695967,4.47,97.97,69.28,96,42,1.34
carnarvon,ZA,1562695968,-30.97,22.13,55.96,37,0,6.85
atuona,PF,1562695968,-9.8,-139.03,80.26,73,26,12.1
hobart,AU,1562695968,-42.88,147.33,49.96,57,75,10.29
yar-sale,RU,1562695969,66.83,70.83,52.18,60,100,2.68
new norfolk,AU,1562695969,-42.78,147.06,49.96,57,75,10.29
bluff,AU,1562695969,-23.58,149.07,57.4,95,10,1.28
kaduy,RU,1562695970,59.2,37.15,57.2,93,40,3.62
fort nelson,CA,1562695970,58.81,-122.69,59,62,40,4.7
alofi,NU,1562695970,-19.06,-169.92,75.2,94,31,6.93
sao gabriel da cachoeira,BR,1562695970,-0.13,-67.09,75.2,94,90,3.36
punta arenas,CL,1562695971,-53.16,-70.91,37.27,100,90,4.7
puerto ayora,EC,1562695971,-0.74,-90.35,74.86,69,75,17.22
manta,RO,1562695971,45.1,24.1,61.54,81,92,3.22
mataura,NZ,1562695971,-46.19,168.86,39,97,98,1.99
iqaluit,CA,1562695972,63.75,-68.52,70.34,46,20,10.29
maniitsoq,GL,1562695972,65.42,-52.9,45.34,82,100,0.85
hilo,US,1562695972,19.71,-155.08,73.69,88,90,5.82
tabuk,PH,1562695972,17.41,121.44,61.72,95,96,2.08
hermanus,ZA,1562695972,-34.42,19.24,57,87,0,8.5
norman wells,CA,1562695973,65.28,-126.83,60.8,59,40,5.82
verkhoyansk,RU,1562695973,67.55,133.39,58.66,85,4,3.22
bonavista,CA,1562695973,48.65,-53.11,56.5,82,100,10.54
khatanga,RU,1562695973,71.98,102.47,47.5,92,100,5.32
atambua,ID,1562695974,-9.11,124.89,75.76,69,22,12.71
nanortalik,GL,1562695974,60.14,-45.24,47.5,67,100,7.52
qaanaaq,GL,1562695974,77.48,-69.36,39.4,88,100,2.89
san quintin,PH,1562695974,17.54,120.52,75.22,90,96,3.2
manicore,BR,1562695974,-5.81,-61.3,81.7,60,84,1.43
peniche,PT,1562695975,39.36,-9.38,73.17,64,0,13.87
ozernovskiy,RU,1562695975,51.5,156.52,41.74,96,91,2.93
pisco,PE,1562695975,-13.71,-76.2,67.87,30,90,5.82
sitka,US,1562695975,37.17,-99.65,81,75,0,6.55
mount gambier,AU,1562695975,-37.83,140.78,46.4,93,76,13.87
sioux lookout,CA,1562695684,50.1,-91.92,68,94,90,3.36
clyde river,CA,1562695976,70.47,-68.59,51.8,71,20,10.29
tasiilaq,GL,1562695976,65.61,-37.64,46.4,70,40,6.93
san patricio,PY,1562695976,-26.98,-56.83,69.82,63,0,4.94
barrow,AR,1562695977,-38.31,-60.23,59.56,52,0,6.24
bayburt,TR,1562695977,40.26,40.22,49.12,93,28,8.32
lata,IN,1562695977,30.78,78.62,46.96,95,93,1.52
provideniya,RU,1562695977,64.42,-173.23,66.22,37,0,6.02
bredasdorp,ZA,1562695977,-34.53,20.04,57.2,82,0,3.36
inverell,AU,1562695978,-29.78,151.11,33.98,91,0,1.99
vermillion,US,1562695978,42.78,-96.93,81.1,61,40,13.87
salinas,US,1562695925,36.67,-121.66,64.87,68,1,4.7
byron bay,AU,1562695978,-28.65,153.62,50.76,100,0,2.53
port elizabeth,US,1562695979,39.31,-74.98,84.31,61,75,6.17
rikitea,PF,1562695979,-23.12,-134.97,73.6,84,31,17.54
lasa,CY,1562695979,34.92,32.53,80.4,88,0,8.05
tekirdag,TR,1562695979,40.98,27.51,82.13,45,75,5.82
pangnirtung,CA,1562695979,66.15,-65.72,51.8,87,75,11.41
vao,EE,1562695980,59.1,26.19,57.22,77,100,9.91
east london,ZA,1562695765,-33.02,27.91,59,87,20,4.7
albany,US,1562695980,42.65,-73.75,81.97,44,1,6.89
chicama,PE,1562695980,-7.84,-79.15,64.4,88,90,8.05
sorland,NO,1562695980,67.67,12.69,57.63,93,20,12.75
jamestown,AU,1562695981,-33.21,138.6,48.04,61,0,13.58
cerritos,US,1562695973,33.86,-118.05,73.02,64,40,9.17
banff,CA,1562695876,51.18,-115.57,57,81,2,8.01
kodiak,US,1562695981,39.95,-94.76,86.36,28,1,12.75
arraial do cabo,BR,1562695981,-22.97,-42.02,73.4,53,20,9.17
kapuskasing,CA,1562695982,49.42,-82.43,82.4,28,40,10.29
kendari,ID,1562695982,-3.99,122.52,69.82,97,11,1.68
krasnyy yar,RU,1562695982,50.7,44.73,62.62,75,39,9.6
bayir,TR,1562695982,37.27,28.22,85.19,54,0,10.29
ishimbay,RU,1562695982,53.45,56.04,67.84,70,17,10.16
itaituba,BR,1562695983,-4.26,-55.99,86,66,40,4.97
pijao,CO,1562695983,4.33,-75.7,79.57,61,40,5.82
mount isa,AU,1562695983,-20.73,139.49,66.2,45,90,14.99
flinders,AU,1562695983,-34.58,150.85,45.37,75,7,11.41
teya,MX,1562695984,21.05,-89.07,92.84,59,75,10.29
turukhansk,RU,1562695984,65.8,87.96,51.82,81,100,2.75
lorengau,PG,1562695984,-2.02,147.27,77.92,84,99,5.82
ancud,CL,1562695984,-41.87,-73.83,51.8,93,90,14.99
cocobeach,GA,1562695984,1.01,9.58,78.8,78,40,8.05
antofagasta,CL,1562695985,-23.65,-70.4,59,67,75,10.29
isla vista,US,1562695844,34.41,-119.86,67.77,60,35,6.22
grand gaube,MU,1562695985,-20.01,57.66,72.48,88,40,3.36
srednekolymsk,RU,1562695985,67.46,153.71,66.94,46,78,7.49
san lazaro,BZ,1562695985,18.04,-88.66,86,74,75,8.05
nemuro,JP,1562695986,43.32,145.57,51.28,93,41,12.62
hojai,IN,1562695986,26,92.85,74.32,99,100,4.27
kavaratti,IN,1562695986,10.57,72.64,83.68,80,100,17.81
council bluffs,US,1562695986,41.26,-95.86,82.47,83,20,12.75
moron,HT,1562695987,18.56,-74.26,83.14,68,100,3.67
paraiso,BR,1562695987,-0.03,-51.17,87.8,66,75,9.17
port alfred,ZA,1562695987,-33.59,26.89,59,91,0,1.99
hvide sande,DK,1562695987,56.01,8.13,62.4,64,34,13.87
kapaa,US,1562695988,22.08,-159.32,79.92,83,90,12.75
palu,ID,1562695988,-0.9,119.87,73.06,94,52,4.23
chuy,UY,1562695988,-33.69,-53.46,56.14,69,87,5.12
poronaysk,RU,1562695988,49.22,143.1,47.14,87,86,6.78
hamilton,CA,1562695727,43.26,-79.87,79.47,44,90,2.24
vila franca do campo,PT,1562695989,37.72,-25.43,69.8,83,20,6.93
yulara,AU,1562695989,-25.24,130.99,42.8,48,0,3.36
shimoda,JP,1562695989,34.7,138.93,63.54,84,26,3
dikson,RU,1562695989,73.51,80.55,32.74,97,100,9.89
lavrentiya,RU,1562695989,65.58,-170.99,63.7,36,5,5.79
amga,RU,1562695990,60.89,131.98,61.9,98,95,2.82
elizabeth city,US,1562695990,36.3,-76.22,82.29,51,1,11.41
thompson,CA,1562695991,55.74,-97.86,69.8,46,40,6.93
longyearbyen,NO,1562695991,78.22,15.63,48.2,81,0,10.29
agua branca,BR,1562695991,-5.89,-42.63,89.8,39,0,8.01
ilulissat,GL,1562695991,69.22,-51.1,51.8,57,20,5.82
touros,BR,1562695992,-5.2,-35.46,84.2,58,40,14.99
black river,JM,1562695992,18.03,-77.85,84.9,62,20,17.22
mehamn,NO,1562695992,71.03,27.85,45.28,93,75,10.29
samana,EC,1562695992,0.12,-76.97,74.48,83,75,2.24
koboko,UG,1562695992,3.41,30.96,66.04,97,22,3.42
kathu,ZA,1562695993,-27.7,23.05,51.01,56,0,5.77
oxbow,CA,1562695993,49.23,-102.17,60.91,100,90,12.75
port hedland,AU,1562695993,-20.31,118.58,59,72,2,6.93
haines junction,CA,1562695993,60.75,-137.51,66.4,36,73,1.68
pevek,RU,1562695994,69.7,170.27,49.3,66,96,7.49
lagoa,PT,1562695994,37.14,-8.45,71.69,73,0,12.75
yemtsa,RU,1562695994,63.06,40.33,56.68,66,18,8.55
ngozi,BI,1562695994,-2.91,29.82,60.46,93,55,0.85
caceres,CO,1562695995,5.53,-74.53,77.92,57,89,4.23
datong,CN,1562695995,40.09,113.3,60.64,75,50,1.97
doha,QA,1562695761,25.29,51.53,100.18,13,0,11.41
daru,PG,1562695995,-9.07,143.21,74.5,87,97,6.42
victoria,BN,1562695995,5.28,115.24,75.09,94,75,3.36
kopervik,NO,1562695996,59.28,5.31,56.21,76,75,11.41
ambilobe,MG,1562695996,-13.19,49.05,73.96,78,7,5.44
zhuhai,CN,1562695996,40.71,112.04,62.6,72,0,4.47
atasu,KZ,1562695997,48.68,71.64,67.12,52,37,6.26
cidreira,BR,1562695997,-30.17,-50.22,63.88,57,86,6.49
nagua,DO,1562695997,19.37,-69.85,88.59,70,40,16.11
seguela,CI,1562695997,7.96,-6.67,77.2,90,55,4.76
vaini,IN,1562695998,15.34,74.49,77.92,86,100,8.97
faanui,PF,1562695998,-16.48,-151.75,77.56,80,17,16.26
sur,OM,1562695998,22.57,59.53,87.28,55,46,11.7
anloga,GH,1562695998,5.79,0.9,78.8,83,20,13.87
busselton,AU,1562695999,-33.64,115.35,54.28,62,45,16.75
esperance,AU,1562695999,-33.86,121.89,50,87,40,13.87
gorontalo,ID,1562695999,0.54,123.06,72.7,93,98,3.02
saint anthony,US,1562695999,43.97,-111.68,65.57,52,1,3.11
saint george,GR,1562695999,39.45,22.34,86.81,48,40,16.11
saldanha,PT,1562696000,41.42,-6.55,82.24,33,61,4.5
nalut,LY,1562696000,31.86,10.98,99.16,11,0,8.39
zhangjiakou,CN,1562696000,40.77,114.88,57.76,79,99,3.56
ukiah,US,1562695765,39.15,-123.21,69.91,49,1,3.36
vargashi,RU,1562696000,55.36,65.85,58.3,86,0,5.39
dakoro,NE,1562696001,14.51,6.76,88.9,40,67,2.8
cortez,US,1562696001,37.35,-108.58,74.25,14,1,3.36
severo-kurilsk,RU,1562696001,50.68,156.12,43,91,49,11.16
souillac,FR,1562696001,45.6,-0.6,80.44,24,0,14.99
sambava,MG,1562696002,-14.27,50.17,67.48,94,19,1.88
kawalu,ID,1562696002,-7.38,108.21,64.78,89,62,4.16
ahipara,NZ,1562696002,-35.17,173.16,57.76,71,70,11.1
sampit,ID,1562696002,-2.54,112.95,71.44,99,33,1.92
bethel,US,1562696003,60.79,-161.76,63.5,100,90,10.29
saint-philippe,CA,1562696003,45.36,-73.48,83.95,40,1,3.36
pemberton,AU,1562696003,-34.44,116.03,53.01,96,21,4.68
north bend,US,1562696003,43.41,-124.22,63.54,77,40,3.36
dinan,FR,1562696004,48.45,-2.05,70.77,60,0,13.87
sarevere,EE,1562696004,58.79,25.43,54,94,78,1.01
nikolskoye,RU,1562696004,59.7,30.79,56.53,76,90,6.71
isangel,VU,1562696004,-19.55,169.27,70.72,60,47,16.93
kungurtug,RU,1562696005,50.6,97.53,51.28,81,1,3.4
batemans bay,AU,1562696005,-35.71,150.18,37.81,91,0,4
half moon bay,US,1562696005,37.46,-122.43,63.36,87,75,4.7
los llanos de aridane,ES,1562696005,28.66,-17.92,70.18,73,40,14.99
towada,JP,1562696005,40.61,141.21,56.55,100,75,2.24
yarensk,RU,1562696006,62.17,49.09,57.58,77,100,6.62
prokopyevsk,RU,1562696006,53.89,86.74,60.1,83,0,2.57
ostersund,SE,1562696006,63.18,14.64,64.4,42,0,5.82
kruisfontein,ZA,1562696006,-34,24.73,53.26,87,0,4.59
nome,US,1562696007,30.04,-94.42,92.25,63,1,5.82
omsukchan,RU,1562696007,62.53,155.8,50.38,67,0,3.47
castro,CL,1562696007,-42.48,-73.76,51.8,93,90,14.99
meulaboh,ID,1562696007,4.14,96.13,81.7,79,44,9.44
serro,BR,1562696007,-18.6,-43.38,64.06,53,25,6.64
mahebourg,MU,1562695715,-20.41,57.7,72.14,88,40,3.36
nzega,TZ,1562696008,-4.22,33.19,72.88,48,59,3
yellowknife,CA,1562695890,62.45,-114.38,53.31,66,75,14.99
takoradi,GH,1562696008,4.89,-1.75,75.22,84,100,6.73
suicheng,CN,1562696009,33.9,117.93,70.36,79,92,2.8
dawei,MM,1562696009,14.07,98.19,83.14,75,100,9.64
lompoc,US,1562695958,34.64,-120.46,63.99,72,75,5.82
vera cruz,BR,1562696009,-12.96,-38.61,78.8,61,75,16.11
luganville,VU,1562696009,-15.51,167.18,66.94,95,100,3.62
quelimane,MZ,1562696010,-17.88,36.89,71.6,78,20,2.24
najran,SA,1562696010,17.54,44.22,98.6,13,40,9.17
namatanai,PG,1562696010,-3.66,152.44,77.74,75,98,8.41
ambanja,MG,1562696010,-13.68,48.45,80.44,72,35,5.08
embu,KE,1562696010,-0.54,37.46,59.38,86,82,2.17
tiksi,RU,1562696011,71.64,128.87,52,89,37,10.89
noumea,NC,1562696011,-22.28,166.46,53.6,93,0,2.24
brokopondo,SR,1562696011,5.06,-54.98,87.8,62,75,5.82
porto belo,BR,1562696012,-27.15,-48.54,69.15,60,20,9.17
avarua,CK,1562696012,-21.21,-159.78,74.14,83,0,11.16
coolum beach,AU,1562696012,-26.53,153.09,54.95,94,0,2.39
dingle,PH,1562696012,11,122.67,74.32,87,60,1.43
anadyr,RU,1562696013,64.73,177.51,61.34,67,0,2.13
kahului,US,1562696013,20.89,-156.47,77.88,69,40,9.17
ponta do sol,BR,1562696013,-20.63,-46,71.62,35,0,3.22
san cristobal,HN,1562696013,14.68,-86.92,84.76,49,88,7.85
walvis bay,NA,1562696014,-22.95,14.51,73.81,20,0,4.7
lanzhou,CN,1562696014,36.06,103.82,51.8,100,0,4.47
butaritari,KI,1562696014,3.07,172.79,84.04,71,20,3.65
airai,TL,1562696014,-8.93,125.41,67.3,74,14,4.9
richards bay,ZA,1562696015,-28.77,32.06,71.08,61,0,6.17
chokurdakh,RU,1562696015,70.62,147.9,63.7,53,77,5.82
avera,US,1562696015,33.19,-82.53,88.79,83,75,6.93
hasaki,JP,1562696015,35.73,140.83,62.55,93,75,6.93
mandalgovi,MN,1562696016,45.76,106.27,68.56,33,82,9.1
jumla,NP,1562696016,29.28,82.18,57.04,96,80,2.71
broome,GB,1562696016,52.47,1.45,64.67,72,40,8.05
makakilo city,US,1562696016,21.35,-158.09,80.06,94,20,4.7
ostrovnoy,RU,1562696017,68.05,39.51,40.84,96,97,14.45
hammerfest,NO,1562696017,70.66,23.68,48.2,81,20,13.87
madras,US,1562696017,44.63,-121.13,70.39,49,1,5.37
saskylakh,RU,1562696017,71.97,114.09,61.18,72,17,10.09
iracoubo,GF,1562696018,5.48,-53.21,84.04,69,13,7.56
ailigandi,PA,1562696018,9.23,-78.02,81.52,73,94,5.73
ambam,CM,1562696018,2.38,11.27,68.92,98,75,3.98
deputatskiy,RU,1562696018,69.3,139.9,57.94,89,23,2.24
port lincoln,AU,1562696018,-34.72,135.86,60.64,73,0,24.83
lander,US,1562696019,42.83,-108.73,64.89,35,1,18.34
hobbs,US,1562695956,32.7,-103.14,97.25,10,1,12.75
vila do maio,CV,1562696019,15.13,-23.22,84.2,51,20,14.99
juruti,BR,1562696019,-2.16,-56.09,89.8,54,49,4.85
taltal,CL,1562696020,-25.41,-70.49,56.5,77,15,5.93
labuhan,ID,1562696020,-2.54,115.51,72.52,91,78,1.92
promyshlennyy,RU,1562696020,67.58,63.92,42.82,85,100,9.01
hovd,NO,1562696020,63.83,10.7,57.27,67,0,6.93
bambous virieux,MU,1562696020,-20.34,57.76,72.23,88,40,3.36
kijang,KR,1562696021,35.24,129.21,69.8,73,0,8.05
paita,PE,1562696021,-5.09,-81.11,62.6,290,0,18.34
sanchor,IN,1562696021,24.76,71.77,87.82,62,100,23.06
aosta,IT,1562696021,45.74,7.32,72.07,61,52,6.93
georgetown,GY,1562696022,6.8,-58.16,84.2,79,75,3.36
laguna,BZ,1562696022,16.17,-88.94,86,74,40,9.17
tsiroanomandidy,MG,1562696022,-18.77,46.05,66.22,60,94,1.88
rawson,AR,1562696022,-43.3,-65.11,56.68,48,0,12.91
husavik,CA,1562696023,50.56,-96.99,73.94,64,100,3.87
mar del plata,AR,1562696023,-46.43,-67.52,50.56,58,0,10.69
xique-xique,BR,1562696023,-10.82,-42.73,78.1,51,0,2.64
puerto escondido,MX,1562696023,15.86,-97.07,87.8,62,75,9.17
cape town,ZA,1562695980,-33.93,18.42,56.59,40,0,5.39
barra patuca,HN,1562696024,15.8,-84.28,82.78,78,29,15.23
hofn,IS,1562696024,64.25,-15.21,37.6,91,100,1.92
palmares do sul,BR,1562696024,-30.26,-50.51,71.01,60,65,1.99
pingliang,CN,1562696024,35.54,106.68,50.74,86,0,3.94
sakaiminato,JP,1562696025,35.55,133.23,73.4,88,75,6.93
ribeira grande,PT,1562696025,38.52,-28.7,75.2,83,40,12.75
bone,DE,1562696025,51.97,12.14,62.17,51,0,10.29
vichuga,RU,1562696025,57.22,41.92,53.62,98,100,3.89
saint-augustin,CA,1562696026,45.63,-73.98,83.79,39,75,8.05
kieta,PG,1562696026,-6.22,155.63,79.18,77,97,3.27
magadi,IN,1562696026,12.96,77.22,74.43,94,40,16.11
ende,ID,1562696026,-8.84,121.65,76.66,74,18,6.71
porto san giorgio,IT,1562695801,43.18,13.79,71.87,94,40,11.41
kaitangata,NZ,1562696027,-46.28,169.85,39.99,80,99,1.99
laives,FR,1562696027,46.65,4.85,74.95,31,0,17.22
vastseliina,EE,1562696027,57.73,27.29,60.8,77,20,6.71
hay river,CA,1562696027,60.82,-115.79,53.6,71,75,11.41
torbay,CA,1562695986,47.66,-52.73,74.26,43,75,20.8
hithadhoo,MV,1562696028,-0.6,73.08,84.04,74,3,11.3
nouakchott,MR,1562696028,18.08,-15.98,80.6,65,0,21.92
wanaka,NZ,1562696028,-44.7,169.14,34,97,100,2.08
owando,CG,1562696029,-0.49,15.91,79,65,82,2.17
mamlyutka,KZ,1562696029,54.94,68.54,62.6,77,20,4.47
buin,CL,1562696029,-33.73,-70.74,53.19,81,45,4.7
pochutla,MX,1562696029,15.74,-96.47,87.57,66,75,8.05
poum,MK,1562696030,41.28,20.71,78.8,47,75,9.17
cabo san lucas,MX,1562695906,22.89,-109.91,90.48,31,5,8.05
wum,CM,1562696030,6.39,10.08,65.68,99,100,3.62
geraldton,CA,1562696030,49.72,-86.95,80.6,54,40,11.41
marolambo,MG,1562696030,-20.05,48.13,63.7,99,99,1.59
beyneu,KZ,1562696031,45.32,55.19,94.3,16,17,4.83
victor harbor,AU,1562696031,-35.55,138.62,49.68,71,0,12.75
coquimbo,CL,1562696031,-29.95,-71.34,63.59,67,90,10.29
ca mau,VN,1562696031,9.18,105.15,78.82,88,37,3.2
husainabad,IN,1562696031,24.53,84.02,81.88,74,100,11.95
hobyo,SO,1562696032,5.35,48.53,78.46,73,100,25.84
upernavik,GL,1562696032,72.79,-56.15,41.38,86,46,20.18
borzya,RU,1562696032,50.39,116.53,60.64,67,5,0.85
bud,NO,1562696032,62.91,6.91,60.21,82,20,16.11
carmo do paranaiba,BR,1562695807,-19,-46.32,75.99,42,0,4
taksimo,RU,1562696033,56.36,114.84,53.44,73,0,3.27
mus,FR,1562696033,43.74,4.2,74.66,94,79,3.36
clayton,US,1562696033,37.94,-121.94,63.72,52,1,20.8
willowmore,ZA,1562696034,-33.3,23.49,51.64,67,0,1.32
aksarka,RU,1562696034,66.56,67.8,51.82,59,95,6.6
manado,ID,1562696034,1.49,124.85,73.4,94,20,2.24
chimore,BO,1562696034,-16.98,-65.13,79.72,47,0,4.18
fortuna,US,1562695912,40.6,-124.16,66.96,68,1,3.36
vanimo,PG,1562696035,-2.67,141.3,80.62,77,41,5.08
raduzhnyy,RU,1562696035,62.1,77.47,53.08,70,68,10.02
vanavara,RU,1562696035,60.35,102.28,56.86,70,29,2.06
nianzishan,CN,1562696035,47.51,122.88,65.14,89,97,1.57
vardo,US,1562696035,39.62,-77.74,83.25,58,40,3.36
gweru,ZW,1562696036,-19.46,29.82,59.56,43,0,12.5
sao filipe,CV,1562696036,14.9,-24.5,73.24,83,68,18.61
novaya lyalya,RU,1562696036,59.05,60.6,61.18,70,92,4.41
la paz,MX,1562695948,24.15,-110.32,93.63,26,5,9.17
igarka,RU,1562696036,67.47,86.57,48.22,74,38,8.14
pavilosta,LV,1562696037,56.89,21.19,59,82,97,6.93
mino,JP,1562696037,35.54,136.91,71.47,78,69,2.73
ust-tsilma,RU,1562696037,65.44,52.15,49.12,68,77,4.83
kindu,CD,1562696037,-2.95,25.92,73.42,84,55,3.06
namibe,AO,1562696038,-15.19,12.15,68.02,88,46,9.62
wajir,KE,1562696038,1.75,40.07,89.6,40,20,4.7
dale,CN,1562696038,24.09,109.99,72.34,92,100,1.95
bikaner,IN,1562696039,28.02,73.32,96.46,38,0,21.97
rorvik,NO,1562696039,64.86,11.24,53.42,81,75,8.05
berlevag,NO,1562696039,70.86,29.09,44.6,87,75,9.17
along,IN,1562696039,28.17,94.8,59.56,98,100,2.06
mayor pablo lagerenza,PY,1562696039,-19.93,-60.77,89.26,29,0,15.73
havoysund,NO,1562696040,71,24.66,47.14,81,20,13.87
mogadishu,SO,1562696040,2.04,45.34,77.02,85,66,13.73
vilhena,BR,1562695937,-12.74,-60.15,84.2,37,0,9.17
krutinka,RU,1562696040,56.01,71.51,56.14,96,1,7.56
copiapo,CL,1562696041,-27.37,-70.33,57.2,71,75,4.7
arlit,NE,1562696041,18.74,7.39,101.14,17,2,2.95
kibara,TZ,1562695903,-2.15,33.45,75.2,78,20,11.41
payo,ID,1562696041,-3.75,103.64,67.3,97,48,2.73
atar,MR,1562696041,20.52,-13.05,109.96,7,0,15.1
omboue,GA,1562696042,-1.57,9.26,72.52,88,82,8.68
te anau,NZ,1562696042,-45.41,167.72,42.28,95,100,4.83
mercedes,UY,1562696042,-33.25,-58.03,66.99,53,100,1.01
picota,PE,1562696043,-6.92,-76.33,72.75,290,40,3.36
rexburg,US,1562696043,43.82,-111.79,65.53,52,1,3.11
narsaq,GL,1562696043,60.91,-46.05,66.2,24,75,17.22
washington,US,1562695786,38.9,-77.04,84.29,54,1,3.36
bethal,ZA,1562696043,-26.46,29.47,52.47,50,0,2.98
portland,US,1562695851,43.66,-70.25,83.28,32,40,11.41
constitucion,MX,1562696044,23.99,-104.67,70.7,56,20,7.25
leningradskiy,RU,1562696044,69.38,178.42,50.2,74,26,10.51
cornereva,RO,1562696044,45.06,22.42,58.3,76,99,2.95
buraydah,SA,1562696045,26.33,43.97,96.8,20,0,11.41
miquelon,PM,1562696045,47.1,-56.38,60.91,67,0,16.11
nelson bay,AU,1562696045,-32.72,152.14,46.38,87,2,10.29
mount pleasant,US,1562696045,33.16,-94.97,89.94,46,1,6.93
chumikan,RU,1562696045,54.72,135.31,45.7,94,100,1.34
